X;Name
01 A1;aroF
01 A10;leuB
01 A11;dxs1
01 A12;rpsS
01 A2;gltS
01 A3;thyA
01 A4;argH
01 A5;rpoC
01 A6;mutT4
01 A7;murX
01 A8;tyrS
01 A9;hemA
01 B1;hisG
01 B10;wag31
01 B11;eno
01 B12;Rv3263
01 B2;rplC
01 B3;pheS
01 B4;gmk
01 B5;hisH
01 B6;accA3
01 B7;ileS
01 B8;leuS
01 B9;tyrA
01 C1;ftsZ
01 C10;engA
01 C11;murE
01 C12;nusG
01 C2;rplB
01 C3;guaA
01 C4;clpX
01 C5;aroA
01 C6;guaB2
01 C7;purD
01 C8;acn
01 C9;rplR
01 D1;pks16
01 D10;rplO
01 D11;Rv3909
01 D12;clpC1
01 D2;infC
01 D3;thrB
01 D4;pks13
01 D5;accE5
01 D6;secA1
01 D7;Rv3910
01 D8;purB
01 D9;trpA
01 E1;pcnA
01 E10;Rv2969c
01 E11;hemE
01 E12;accD4
01 E2;argS
01 E3;groES
01 E4;ilvC
01 E5;fas
01 E6;murG
01 E7;dnaZX
01 E8;serA1
01 E9;serS
01 F1;secE1
01 F10;rpsA
01 F11;groEL2
01 F12;alaS
01 F2;rplF
01 F3;murC
01 F4;lysS
01 F5;sdhD
01 F6;hemD
01 F7;trpC
01 F8;rpmH
01 F9;dnaE1
01 G1;purM
01 G10;thrS
01 G11;fabD
01 G12;metK
01 G2;dnaA
01 G3;rpe
01 G4;ndh
01 G5;sdhA
01 G6;sigA
01 G7;rpsG
01 G8;serC
01 G9;gyrA
01 H1;ino1
01 H10;rplD
01 H11;Rv0227c
01 H12;lytB1
01 H2;accD5
01 H3;Rv3921c
01 H4;argC
01 H5;rplN
01 H6;murD
01 H7;aspS
01 H8;hisC1
01 H9;sdhC
02 A1;rpsC
02 A10;nusA
02 A11;metS
02 A12;rplX
02 A2;dlaT
02 A3;pmmA
02 A4;rpoZ
02 A5;dnaB
02 A6;gatA
02 A7;ilvE
02 A8;rfbE
02 A9;Rv3722c
02 B1;Rv2454c
02 B10;valS
02 B11;Rv2147c
02 B12;thrC
02 B2;ftsK
02 B3;gatB
02 B4;purC
02 B5;rpsE
02 B6;rplM
02 B7;proS
02 B8;carB
02 B9;rplW
02 C1;trpD
02 C10;pheT
02 C11;ftsW
02 C12;secY
02 C2;dnaG
02 C3;trpB
02 C4;rpiB
02 C5;clpP1
02 C6;glmS
02 C7;argG
02 C8;pyrF
02 C9;canB
02 D1;lysA
02 D10;glnA2
02 D11;purL
02 D12;Rv1248c
02 D2;hisS
02 D3;Rv1463
02 D4;ribF
02 D5;whiA
02 D6;rpsH
02 D7;rplS
02 D8;thrA
02 D9;prfB
02 E1;glyS
02 E10;pyrG
02 E11;glfT1
02 E12;asd
02 E2;cysS1
02 E3;rpsK
02 E4;murF
02 E5;rho
02 E6;metH
02 E7;wbbL1
02 E8;obg
02 E9;lpdC
02 F1;rpsD
02 F10;ask
02 F11;rplE
02 F12;purK
02 F2;rpsB
02 F3;cdsA
02 F4;gpsI
02 F5;folP1
02 F6;fabG1
02 F7;pknB
02 F8;hisB
02 F9;grcC2
02 G1;rpoA
02 G10;purQ
02 G11;glfT2
02 G12;hemC
02 G2;Rv2164c
02 G3;Rv1461
02 G4;rpsP
02 G5;hemL
02 G6;cobQ2
02 G7;carA
02 G8;rplK
02 G9;hemB
02 H1;rpoB
02 H10;rfe
02 H11;purA
02 H12;menD
02 H2;Rv2455c
02 H3;csd
02 H4;Rv2676c
02 H5;mmpL3
02 H6;tuf
02 H7;ponA1
02 H8;inhA
02 H9;rpsI
03 A1;rpmC
03 A10;trmD
03 A11;ctaE
03 A12;Rv0338c
03 A2;dfp
03 A3;Rv2611c
03 A4;ribG
03 A5;gyrB
03 A6;menB
03 A7;pyrH
03 A8;trpS
03 A9;manA
03 B1;glf
03 B10;Rv2477c
03 B11;pimA
03 B12;Rv0528
03 B2;rpsM
03 B3;pyrE
03 B4;nadE
03 B5;Rv3669
03 B6;rplT
03 B7;tkt
03 B8;menH
03 B9;Rv2182c
03 C1;pyrD
03 C10;ephE
03 C11;rpsQ
03 C12;tatC
03 C2;lipA
03 C3;Rv2968c
03 C4;menA
03 C5;rplA
03 C6;pimB
03 C7;cysG
03 C8;dxr
03 C9;rmlB
03 D1;Rv1111c
03 D10;hisF
03 D11;folE
03 D12;rpsT
03 D2;murB
03 D3;rpsL
03 D4;dnaN
03 D5;aftA
03 D6;rpsR1
03 D7;purF
03 D8;infA
03 D9;infB
03 E1;purH
03 E10;argJ
03 E11;priA
03 E12;ccdA
03 E2;mqo
03 E3;ubiA
03 E4;dapE
03 E5;ctaC
03 E6;rmlA
03 E7;ispD
03 E8;sirA
03 E9;ilvN
03 F1;rplV
03 F10;gap
03 F11;rne
03 F12;dapA
03 F2;aroK
03 F3;leuD
03 F4;pgsA2
03 F5;lepB
03 F6;secD
03 F7;secF
03 F8;hisD
03 F9;rplP
03 G1;ribA2
03 G10;hisI
03 G11;ccsA
03 G12;proB
03 G2;cmk
03 G3;Rv1024
03 G4;dprE1
03 G5;glyA1
03 G6;serB1
03 G7;hemZ
03 G8;hisA
03 G9;qcrC
03 H1;ilvB1
03 H10;era
03 H11;Rv2050
03 H12;Rv0102
03 H2;Rv3583c
03 H3;Rv3712
03 H4;argF
03 H5;desA2
03 H6;qcrB
03 H7;qcrA
03 H8;ssb
03 H9;pknA
04 A1;prfA
04 A2;pgk
04 B1;ddlA
04 B2;coaA
04 C1;frr
04 C2;tatA
04 D1;Rv0526
04 E1;Rv2361c
04 F1;Rv2609c
04 G1;Rv0787A
04 H1;aroB